sno	Collected_miRNA_name	Accession	Symbol	Description	Mature_Sequence	Gene_Family	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
53	hsa-miR-193b	MI0003137	HGNC:MIR193B	miR-193b stem-loop		MIPF0000082; mir-193	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
54	hsa-miR-193b *	MI0003137	HGNC:MIR193B	miR-193b stem-loop		MIPF0000082; mir-193	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
55	hsa-miR-197	MI0000239	HGNC:MIR197	miR-197 stem-loop		MIPF0000123; mir-197	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
56	hsa-miR-197	MI0000239	HGNC:MIR197	miR-197 stem-loop		MIPF0000123; mir-197	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
57	hsa-miR-29a	MI0000087	HGNC:MIR29A	miR-29a stem-loop		MIPF0000009; mir-29	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
58	hsa-miR-200b	MI0000342	HGNC:MIR200B	miR-200b stem-loop		MIPF0000019; mir-8	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
59	hsa-miR-126	MI0000471	HGNC:MIR126	miR-126 stem-loop		MIPF0000115; mir-126	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
60	hsa-miR-126	MI0000471	HGNC:MIR126	miR-126 stem-loop		MIPF0000115; mir-126	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
61	hsa-miR-126	MI0000471	HGNC:MIR126	miR-126 stem-loop		MIPF0000115; mir-126	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
62	hsa-miR-22	MI0000078	HGNC:MIR22	miR-22 stem-loop		MIPF0000053; mir-22	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
